time,speed,elevation,BUS ID,Date
0.0,20,1322,138,2019-11-12
1.0,17,1322,138,2019-11-12
2.0,15,1323,138,2019-11-12
3.0,13,1323,138,2019-11-12
4.0,12,1323,138,2019-11-12
5.0,9,1323,138,2019-11-12
7.0,5,1323,138,2019-11-12
8.0,7,1323,138,2019-11-12
9.0,10,1323,138,2019-11-12
10.0,14,1323,138,2019-11-12
12.0,20,1323,138,2019-11-12
13.0,24,1323,138,2019-11-12
14.0,27,1323,138,2019-11-12
15.0,30,1323,138,2019-11-12
16.0,31,1323,138,2019-11-12
18.0,30,1323,138,2019-11-12
19.0,30,1323,138,2019-11-12
20.0,31,1323,138,2019-11-12
21.0,31,1323,138,2019-11-12
22.0,30,1322,138,2019-11-12
23.0,31,1322,138,2019-11-12
25.0,33,1322,138,2019-11-12
26.0,33,1322,138,2019-11-12
27.0,34,1322,138,2019-11-12
28.0,35,1322,138,2019-11-12
29.0,35,1322,138,2019-11-12
31.0,36,1321,138,2019-11-12
32.0,35,1321,138,2019-11-12
33.0,35,1320,138,2019-11-12
34.0,35,1320,138,2019-11-12
36.0,35,1320,138,2019-11-12
37.0,35,1319,138,2019-11-12
38.0,35,1319,138,2019-11-12
40.0,37,1318,138,2019-11-12
41.0,37,1318,138,2019-11-12
42.0,37,1317,138,2019-11-12
43.0,37,1317,138,2019-11-12
44.0,38,1317,138,2019-11-12
46.0,38,1316,138,2019-11-12
47.0,37,1315,138,2019-11-12
48.0,36,1315,138,2019-11-12
49.0,34,1315,138,2019-11-12
50.0,30,1314,138,2019-11-12
51.0,30,1314,138,2019-11-12
53.0,27,1313,138,2019-11-12
54.0,25,1313,138,2019-11-12
55.0,22,1313,138,2019-11-12
56.0,18,1313,138,2019-11-12
57.0,18,1312,138,2019-11-12
59.0,21,1312,138,2019-11-12
60.0,21,1312,138,2019-11-12
61.0,21,1312,138,2019-11-12
62.0,20,1311,138,2019-11-12
63.0,21,1311,138,2019-11-12
64.0,22,1311,138,2019-11-12
66.0,25,1311,138,2019-11-12
67.0,30,1311,138,2019-11-12
68.0,31,1311,138,2019-11-12
69.0,32,1311,138,2019-11-12
70.0,35,1310,138,2019-11-12
72.0,36,1310,138,2019-11-12
73.0,36,1309,138,2019-11-12
74.0,34,1309,138,2019-11-12
75.0,31,1309,138,2019-11-12
77.0,21,1309,138,2019-11-12
78.0,14,1309,138,2019-11-12
79.0,9,1309,138,2019-11-12
80.0,6,1309,138,2019-11-12
81.0,2,1309,138,2019-11-12
83.0,8,1309,138,2019-11-12
84.0,10,1309,138,2019-11-12
85.0,10,1309,138,2019-11-12
86.0,14,1308,138,2019-11-12
88.0,17,1308,138,2019-11-12
89.0,24,1308,138,2019-11-12
90.0,27,1308,138,2019-11-12
91.0,30,1308,138,2019-11-12
92.0,31,1308,138,2019-11-12
93.0,32,1308,138,2019-11-12
95.0,32,1308,138,2019-11-12
96.0,31,1308,138,2019-11-12
97.0,31,1308,138,2019-11-12
98.0,30,1308,138,2019-11-12
99.0,29,1308,138,2019-11-12
100.0,28,1308,138,2019-11-12
102.0,25,1308,138,2019-11-12
103.0,22,1308,138,2019-11-12
104.0,21,1308,138,2019-11-12
105.0,19,1308,138,2019-11-12
107.0,13,1308,138,2019-11-12
108.0,13,1308,138,2019-11-12
109.0,11,1308,138,2019-11-12
110.0,6,1308,138,2019-11-12
111.0,0,1308,138,2019-11-12
113.0,0,1308,138,2019-11-12
114.0,0,1308,138,2019-11-12
115.0,0,1308,138,2019-11-12
116.0,0,1308,138,2019-11-12
118.0,0,1308,138,2019-11-12
119.0,1,1308,138,2019-11-12
120.0,0,1308,138,2019-11-12
121.0,0,1308,138,2019-11-12
122.0,0,1308,138,2019-11-12
123.0,0,1308,138,2019-11-12
124.0,0,1308,138,2019-11-12
126.0,0,1308,138,2019-11-12
127.0,0,1308,138,2019-11-12
128.0,0,1308,138,2019-11-12
130.0,0,1308,138,2019-11-12
131.0,0,1308,138,2019-11-12
132.0,0,1308,138,2019-11-12
133.0,0,1308,138,2019-11-12
135.0,0,1308,138,2019-11-12
136.0,0,1308,138,2019-11-12
137.0,0,1308,138,2019-11-12
138.0,0,1308,138,2019-11-12
140.0,0,1308,138,2019-11-12
