"Bus ID","Driver ID","Route ID","Stop ID",Latitude,Longitude,Heading,Speed,Time
29,,,,-1,-1,,0,"2022-03-15 05:40:57-06"
29,,,,-1,-1,,0,"2022-03-15 05:41:03-06"
29,,,,-1,-1,,0,"2022-03-15 05:41:10-06"
29,,,,-1,-1,,0,"2022-03-15 05:41:17-06"
29,,,,-1,-1,,0,"2022-03-15 05:41:25-06"
29,,,,-1,-1,,0,"2022-03-15 05:41:33-06"
29,,,,-1,-1,,0,"2022-03-15 05:41:56-06"
29,,,,-1,-1,,0,"2022-03-15 05:42:05-06"
29,,,,-1,-1,,0,"2022-03-15 05:42:16-06"
29,,,,-1,-1,,0,"2022-03-15 05:42:26-06"
29,,,,-1,-1,,0,"2022-03-15 05:42:36-06"
29,,,,51.19189,-115.55418,356,1.41,"2022-03-15 05:42:46-06"
29,,,,51.19189,-115.5542,348,1.47,"2022-03-15 05:42:47-06"
29,,,,51.19187,-115.55427,335,1.43,"2022-03-15 05:42:49-06"
29,,,,51.19187,-115.5543,331,0.87,"2022-03-15 05:42:50-06"
29,,,,51.19187,-115.55431,,0.68,"2022-03-15 05:42:51-06"
29,,,,51.19187,-115.55434,311,0.67,"2022-03-15 05:42:52-06"
29,,,,51.19187,-115.55439,,0.55,"2022-03-15 05:42:54-06"
29,,,,51.19185,-115.55447,,0.41,"2022-03-15 05:42:55-06"
29,,,,51.19184,-115.55446,,0.37,"2022-03-15 05:42:56-06"
29,,,,51.19183,-115.55446,,0.33,"2022-03-15 05:42:57-06"
29,,,,51.19182,-115.55445,,0.12,"2022-03-15 05:42:58-06"
29,,,,51.19181,-115.55448,,0.09,"2022-03-15 05:43:00-06"
29,,,,51.19177,-115.55473,,0.08,"2022-03-15 05:43:01-06"
29,,,,51.19177,-115.55497,,0.02,"2022-03-15 05:43:02-06"
29,,,,51.19177,-115.55506,,0.01,"2022-03-15 05:43:03-06"
29,,,,51.19176,-115.55515,,0.07,"2022-03-15 05:43:05-06"
29,,,,51.19176,-115.55518,,0.04,"2022-03-15 05:43:06-06"
29,,,,51.19176,-115.5552,,0.04,"2022-03-15 05:43:07-06"
29,,,,51.19176,-115.55521,,0.05,"2022-03-15 05:43:08-06"
29,,,,51.19175,-115.55519,,0.13,"2022-03-15 05:43:10-06"
29,,,,51.19175,-115.55518,,0.43,"2022-03-15 05:43:11-06"
29,,,,51.19175,-115.55519,297,0.64,"2022-03-15 05:43:12-06"
29,,,,51.19174,-115.55521,293,1.17,"2022-03-15 05:43:14-06"
29,,,,51.19173,-115.55523,297,1.44,"2022-03-15 05:43:15-06"
29,,,,51.19174,-115.55525,300,1.73,"2022-03-15 05:43:16-06"
29,,,,51.19174,-115.55528,294,2,"2022-03-15 05:43:17-06"
29,,,,51.19175,-115.55531,287,2.28,"2022-03-15 05:43:18-06"
29,,,,51.19174,-115.55537,261,2.47,"2022-03-15 05:43:20-06"
29,,,,51.19172,-115.5554,252,2.06,"2022-03-15 05:43:21-06"
29,,,,51.1917,-115.55541,238,2.16,"2022-03-15 05:43:22-06"
29,,,,51.19167,-115.55544,213,1.71,"2022-03-15 05:43:24-06"
29,,,,51.19161,-115.55543,207,1.39,"2022-03-15 05:43:25-06"
29,,,,51.19158,-115.55543,199,1.41,"2022-03-15 05:43:26-06"
29,,,,51.19155,-115.55544,202,1.87,"2022-03-15 05:43:27-06"
29,,,,51.19153,-115.55544,204,1.91,"2022-03-15 05:43:28-06"
29,,,,51.19146,-115.55547,208,2.95,"2022-03-15 05:43:30-06"
29,,,,51.19144,-115.55548,204,2.96,"2022-03-15 05:43:31-06"
29,,,,51.19141,-115.5555,207,3.1,"2022-03-15 05:43:32-06"
29,,,,51.19138,-115.55553,211,3.11,"2022-03-15 05:43:33-06"
29,,,,51.19135,-115.55555,213,3.05,"2022-03-15 05:43:34-06"
29,,,,51.19132,-115.55558,214,3.1,"2022-03-15 05:43:35-06"
29,,,,51.19127,-115.55562,216,3.07,"2022-03-15 05:43:37-06"
29,,,,51.19125,-115.55565,219,3.01,"2022-03-15 05:43:38-06"
29,,,,51.19123,-115.55569,224,3.03,"2022-03-15 05:43:39-06"
29,,,,51.19121,-115.55575,234,2.68,"2022-03-15 05:43:41-06"
29,,,,51.19119,-115.55579,243,3.02,"2022-03-15 05:43:42-06"
29,,,,51.19118,-115.55583,246,3,"2022-03-15 05:43:43-06"
29,,,,51.19116,-115.55587,250,2.91,"2022-03-15 05:43:44-06"
29,,,,51.19114,-115.55594,251,2.63,"2022-03-15 05:43:46-06"
29,,,,51.19113,-115.55598,252,2.43,"2022-03-15 05:43:47-06"
29,,,,51.19113,-115.55601,251,2.45,"2022-03-15 05:43:48-06"
29,,,,51.19112,-115.55605,249,2.42,"2022-03-15 05:43:49-06"
29,,,,51.19109,-115.55611,236,2,"2022-03-15 05:43:51-06"
29,,,,51.19107,-115.55612,216,2.2,"2022-03-15 05:43:52-06"
29,,,,51.19105,-115.55614,207,2.04,"2022-03-15 05:43:53-06"
29,,,,51.19101,-115.55615,188,1.76,"2022-03-15 05:43:55-06"
29,,,,51.191,-115.55615,181,1.43,"2022-03-15 05:43:56-06"
29,,,,51.19098,-115.55615,170,1.51,"2022-03-15 05:43:57-06"
29,,,,51.19097,-115.55614,166,1.42,"2022-03-15 05:43:58-06"
29,,,,51.19095,-115.55613,155,0.93,"2022-03-15 05:44:00-06"
29,,,,51.19094,-115.55612,149,0.81,"2022-03-15 05:44:01-06"
29,,,,51.19093,-115.55612,145,0.6,"2022-03-15 05:44:02-06"
29,,,,51.19093,-115.55612,142,0.44,"2022-03-15 05:44:03-06"
29,,,,51.19092,-115.55611,141,0.38,"2022-03-15 05:44:04-06"
29,,,,51.19091,-115.5561,139,0.31,"2022-03-15 05:44:06-06"
29,,,,51.19091,-115.5561,140,0.26,"2022-03-15 05:44:07-06"
29,,,,51.1909,-115.5561,,0.25,"2022-03-15 05:44:08-06"
29,,,,51.1909,-115.55609,136,0.31,"2022-03-15 05:44:09-06"
29,,,,51.19088,-115.55608,142,0.51,"2022-03-15 05:44:11-06"
29,,,,51.19087,-115.55608,146,0.77,"2022-03-15 05:44:12-06"
29,,,,51.19086,-115.55607,148,1.16,"2022-03-15 05:44:13-06"
29,,,,51.19085,-115.55606,150,1.45,"2022-03-15 05:44:14-06"
29,,,,51.19083,-115.55605,149,1.52,"2022-03-15 05:44:15-06"
29,,,,51.1908,-115.55602,149,2.14,"2022-03-15 05:44:17-06"
29,,,,51.19078,-115.556,145,2.09,"2022-03-15 05:44:18-06"
29,,,,51.19077,-115.55598,142,2.11,"2022-03-15 05:44:19-06"
29,,,,51.19075,-115.55595,138,2.34,"2022-03-15 05:44:20-06"
29,,,,51.19072,-115.5559,132,2.21,"2022-03-15 05:44:22-06"
29,,,,51.1907,-115.55588,128,2.3,"2022-03-15 05:44:23-06"
29,,,,51.19069,-115.55585,127,2.25,"2022-03-15 05:44:24-06"
29,,,,51.19068,-115.55582,124,2.37,"2022-03-15 05:44:25-06"
29,,,,51.19067,-115.55579,119,2.22,"2022-03-15 05:44:26-06"
29,,,,51.19066,-115.55576,116,2.16,"2022-03-15 05:44:27-06"
29,,,,51.19065,-115.5557,105,2.25,"2022-03-15 05:44:29-06"
29,,,,51.19065,-115.55567,88,2.18,"2022-03-15 05:44:30-06"
29,,,,51.19066,-115.55564,81,2.3,"2022-03-15 05:44:31-06"
29,,,,51.19066,-115.55561,67,2.17,"2022-03-15 05:44:32-06"
29,,,,51.19067,-115.55559,60,1.53,"2022-03-15 05:44:33-06"
29,,,,51.1907,-115.55555,34,1.86,"2022-03-15 05:44:35-06"
29,,,,51.19071,-115.55554,27,2.01,"2022-03-15 05:44:36-06"
29,,,,51.19073,-115.55553,25,1.8,"2022-03-15 05:44:37-06"
29,,,,51.19072,-115.55553,,0.14,"2022-03-15 05:44:38-06"
29,,,,51.19072,-115.55552,69,0.83,"2022-03-15 05:44:39-06"
29,,,,51.19073,-115.55553,41,0.7,"2022-03-15 05:44:41-06"
29,,,,51.19073,-115.55553,3,0.31,"2022-03-15 05:44:42-06"
29,,,,51.19073,-115.55554,283,0.44,"2022-03-15 05:44:43-06"
29,,,,51.19073,-115.55554,,0.24,"2022-03-15 05:44:44-06"
29,,,,51.19073,-115.55554,,0.04,"2022-03-15 05:44:45-06"
29,,,,51.19073,-115.55554,,0.03,"2022-03-15 05:44:47-06"
29,,,,51.19073,-115.55553,,0.07,"2022-03-15 05:44:48-06"
29,,,,51.19073,-115.55553,,0.07,"2022-03-15 05:44:49-06"
29,,,,51.19073,-115.55553,,0.02,"2022-03-15 05:44:50-06"
29,,,,51.19073,-115.55553,,0.01,"2022-03-15 05:44:51-06"
29,,,,51.19073,-115.55553,,0.12,"2022-03-15 05:44:52-06"
29,,,,51.19073,-115.55552,,0.14,"2022-03-15 05:44:54-06"
29,,,,51.19073,-115.55552,,0.1,"2022-03-15 05:44:55-06"
29,,,,51.19073,-115.55552,,0.05,"2022-03-15 05:44:56-06"
29,,,,51.19073,-115.55552,,0.05,"2022-03-15 05:44:57-06"
29,,,,51.19073,-115.55552,,0.02,"2022-03-15 05:44:58-06"
29,,,,51.19073,-115.55552,,0.01,"2022-03-15 05:45:00-06"
29,,,,51.19073,-115.55552,,0.02,"2022-03-15 05:45:01-06"
29,,,,51.19073,-115.55552,,0.06,"2022-03-15 05:45:02-06"
29,,,,51.19073,-115.55552,,0.07,"2022-03-15 05:45:03-06"
29,,,,51.19073,-115.55552,,0.13,"2022-03-15 05:45:04-06"
29,,,,51.19074,-115.55553,,0.12,"2022-03-15 05:45:06-06"
29,,,,51.19074,-115.55553,,0.05,"2022-03-15 05:45:07-06"
29,,,,51.19074,-115.55553,,0.03,"2022-03-15 05:45:08-06"
29,,,,51.19074,-115.55553,,0.03,"2022-03-15 05:45:09-06"
29,,,,51.19074,-115.55553,,0.1,"2022-03-15 05:45:11-06"
29,,,,51.19074,-115.55554,,0.04,"2022-03-15 05:45:12-06"
29,,,,51.19074,-115.55554,,0.01,"2022-03-15 05:45:13-06"
29,,,,51.19074,-115.55554,,0.03,"2022-03-15 05:45:14-06"
29,,,,51.19074,-115.55554,,0.02,"2022-03-15 05:45:16-06"
29,,,,51.19074,-115.55554,,0,"2022-03-15 05:45:17-06"
29,,,,51.19074,-115.55555,,0.02,"2022-03-15 05:45:18-06"
29,,,,51.19074,-115.55555,,0.02,"2022-03-15 05:45:19-06"
29,,,,51.19074,-115.55555,,0.03,"2022-03-15 05:45:21-06"
29,,,,51.19074,-115.55555,,0.1,"2022-03-15 05:45:22-06"
29,,,,51.19074,-115.55555,,0.06,"2022-03-15 05:45:23-06"
29,,,,51.19074,-115.55555,,0.05,"2022-03-15 05:45:24-06"
29,,,,51.19073,-115.55554,,0.02,"2022-03-15 05:45:26-06"
29,,,,51.19073,-115.55554,,0.06,"2022-03-15 05:45:27-06"
29,,,,51.19073,-115.55554,,0.03,"2022-03-15 05:45:28-06"
29,,,,51.19073,-115.55554,,0.02,"2022-03-15 05:45:30-06"
29,,,,51.19073,-115.55554,,0.02,"2022-03-15 05:45:31-06"
29,,,,51.19073,-115.55554,,0.03,"2022-03-15 05:45:32-06"
29,,,,51.19073,-115.55554,,0.02,"2022-03-15 05:45:33-06"
29,,,,51.19072,-115.55554,,0.02,"2022-03-15 05:45:35-06"
29,,,,51.19072,-115.55554,,0.02,"2022-03-15 05:45:36-06"
29,,,,51.19072,-115.55554,,0,"2022-03-15 05:45:37-06"
29,,,,51.19072,-115.55554,,0.01,"2022-03-15 05:45:38-06"
29,,,,51.19071,-115.55554,,0.04,"2022-03-15 05:45:40-06"
29,,,,51.19071,-115.55554,,0.02,"2022-03-15 05:45:41-06"
29,,,,51.1907,-115.55554,,0.05,"2022-03-15 05:45:42-06"
29,,,,51.1907,-115.55553,,0.04,"2022-03-15 05:45:43-06"
29,,,,51.19069,-115.55554,,0.01,"2022-03-15 05:45:45-06"
29,,,,51.19069,-115.55554,,0,"2022-03-15 05:45:46-06"
