"Bus ID","Driver ID","Route ID","Stop ID",Latitude,Longitude,Heading,Speed,Time
27,,,,51.19124,-115.55513,,1.07,"2022-08-08 00:00:00-06"
27,,,,51.19125,-115.55513,,0.92,"2022-08-08 00:00:01-06"
27,,,,51.19127,-115.55512,,0.51,"2022-08-08 00:00:03-06"
27,,,,51.19128,-115.55512,,0.51,"2022-08-08 00:00:04-06"
27,,,,51.19128,-115.55512,,0.45,"2022-08-08 00:00:05-06"
27,,,,51.19128,-115.55512,,0.5,"2022-08-08 00:00:06-06"
27,,,,51.19129,-115.55513,,0.35,"2022-08-08 00:00:08-06"
27,,,,51.19131,-115.55512,,0.31,"2022-08-08 00:00:09-06"
27,,,,51.1913,-115.55512,,0.19,"2022-08-08 00:00:10-06"
27,,,,51.19131,-115.55512,,0.29,"2022-08-08 00:00:11-06"
27,,,,51.19131,-115.55512,,0.41,"2022-08-08 00:00:13-06"
27,,,,51.19132,-115.55511,,0.49,"2022-08-08 00:00:14-06"
27,,,,51.19134,-115.55511,,0.53,"2022-08-08 00:00:15-06"
27,,,,51.19134,-115.55511,,0.46,"2022-08-08 00:00:16-06"
27,,,,51.19135,-115.55511,,0.62,"2022-08-08 00:00:17-06"
27,,,,51.19135,-115.55509,,0.43,"2022-08-08 00:00:19-06"
27,,,,51.19135,-115.55509,,0.42,"2022-08-08 00:00:20-06"
27,,,,51.19138,-115.55508,,0.3,"2022-08-08 00:00:21-06"
27,,,,51.19138,-115.55508,,0.25,"2022-08-08 00:00:22-06"
27,,,,51.19137,-115.55508,,0.23,"2022-08-08 00:00:23-06"
27,,,,51.1914,-115.55506,,0.48,"2022-08-08 00:00:25-06"
27,,,,51.1914,-115.55507,,0.48,"2022-08-08 00:00:26-06"
27,,,,51.19141,-115.55507,,0.41,"2022-08-08 00:00:27-06"
27,,,,51.19142,-115.55507,,0.59,"2022-08-08 00:00:28-06"
27,,,,51.19142,-115.55509,,0.61,"2022-08-08 00:00:30-06"
27,,,,51.19142,-115.55509,,0.42,"2022-08-08 00:00:31-06"
27,,,,51.19143,-115.55508,,0.38,"2022-08-08 00:00:32-06"
27,,,,51.19142,-115.55508,,0.27,"2022-08-08 00:00:33-06"
27,,,,51.19143,-115.55507,,0.27,"2022-08-08 00:00:35-06"
27,,,,51.19143,-115.55506,,0.06,"2022-08-08 00:00:36-06"
27,,,,51.19142,-115.55506,,0.12,"2022-08-08 00:00:37-06"
27,,,,51.19142,-115.55506,,0.21,"2022-08-08 00:00:38-06"
27,,,,51.19146,-115.55505,,0.4,"2022-08-08 00:00:40-06"
27,,,,51.19146,-115.55504,,0.32,"2022-08-08 00:00:41-06"
27,,,,51.19148,-115.55504,,0.28,"2022-08-08 00:00:42-06"
27,,,,51.19149,-115.55505,,0.5,"2022-08-08 00:00:44-06"
27,,,,51.19148,-115.55506,,0.68,"2022-08-08 00:00:45-06"
27,,,,51.19148,-115.55506,,0.58,"2022-08-08 00:00:46-06"
27,,,,51.19148,-115.55506,,0.55,"2022-08-08 00:00:47-06"
