"Bus ID","Driver ID","Route ID","Stop ID",Latitude,Longitude,Heading,Speed,Time
28,,,,51.19125,-115.55525,,1.26,"2022-08-08 00:00:00-06"
28,,,,51.19121,-115.55534,,1.7,"2022-08-08 00:00:01-06"
28,,,,51.19121,-115.55539,,1.72,"2022-08-08 00:00:03-06"
28,,,,51.19115,-115.55536,,1.65,"2022-08-08 00:00:04-06"
28,,,,51.19114,-115.55538,,1.64,"2022-08-08 00:00:05-06"
28,,,,51.19115,-115.55541,,1.7,"2022-08-08 00:00:06-06"
28,,,,51.1911,-115.55539,,1.57,"2022-08-08 00:00:08-06"
28,,,,51.19109,-115.55541,,1.57,"2022-08-08 00:00:09-06"
28,,,,51.19114,-115.55532,,0.7,"2022-08-08 00:00:10-06"
28,,,,51.19114,-115.55533,,0.7,"2022-08-08 00:00:11-06"
28,,,,51.19113,-115.55534,,0.7,"2022-08-08 00:00:12-06"
28,,,,51.19118,-115.55529,,0.56,"2022-08-08 00:00:14-06"
28,,,,51.19118,-115.55529,,0.56,"2022-08-08 00:00:15-06"
28,,,,51.19126,-115.55527,,0.88,"2022-08-08 00:00:16-06"
28,,,,51.19128,-115.55527,,0.88,"2022-08-08 00:00:18-06"
28,,,,51.19127,-115.55525,,0.53,"2022-08-08 00:00:19-06"
28,,,,51.19127,-115.55525,,0.53,"2022-08-08 00:00:20-06"
28,,,,51.19128,-115.55525,,0.53,"2022-08-08 00:00:21-06"
28,,,,51.19128,-115.55522,,0.43,"2022-08-08 00:00:22-06"
28,,,,51.19128,-115.55522,,0.43,"2022-08-08 00:00:24-06"
28,,,,51.19132,-115.55523,,0.56,"2022-08-08 00:00:25-06"
28,,,,51.19133,-115.55524,,0.56,"2022-08-08 00:00:26-06"
28,,,,51.19135,-115.55515,,0.61,"2022-08-08 00:00:28-06"
28,,,,51.19136,-115.55515,,0.61,"2022-08-08 00:00:29-06"
28,,,,51.19136,-115.55515,,0.61,"2022-08-08 00:00:30-06"
28,,,,51.19138,-115.55519,,0.57,"2022-08-08 00:00:31-06"
28,,,,51.19139,-115.55519,,0.57,"2022-08-08 00:00:33-06"
28,,,,51.19139,-115.55516,,0.76,"2022-08-08 00:00:34-06"
28,,,,51.1914,-115.55518,,0.89,"2022-08-08 00:00:35-06"
28,,,,51.19141,-115.55518,,0.87,"2022-08-08 00:00:36-06"
28,,,,51.19146,-115.55517,,0.99,"2022-08-08 00:00:37-06"
28,,,,51.19148,-115.55515,,1.09,"2022-08-08 00:00:39-06"
28,,,,51.19146,-115.55514,,0.76,"2022-08-08 00:00:40-06"
28,,,,51.19145,-115.55513,,0.51,"2022-08-08 00:00:41-06"
28,,,,51.19146,-115.55513,,0.62,"2022-08-08 00:00:42-06"
28,,,,51.19147,-115.55511,,0.17,"2022-08-08 00:00:44-06"
28,,,,51.19147,-115.55508,,0.41,"2022-08-08 00:00:45-06"
28,,,,51.19142,-115.55509,,0.33,"2022-08-08 00:00:46-06"
28,,,,51.19141,-115.5551,,0.3,"2022-08-08 00:00:47-06"
28,,,,51.19141,-115.5551,,0.4,"2022-08-08 00:00:49-06"
28,,,,51.19141,-115.55511,,0.37,"2022-08-08 00:00:50-06"
28,,,,51.19142,-115.55508,,0.83,"2022-08-08 00:00:51-06"
28,,,,51.19142,-115.55504,,1.24,"2022-08-08 00:00:52-06"
28,,,,51.19142,-115.55503,,0.8,"2022-08-08 00:00:54-06"
28,,,,51.19141,-115.55501,,0.88,"2022-08-08 00:00:55-06"
28,,,,51.19142,-115.55499,,0.92,"2022-08-08 00:00:56-06"
28,,,,51.1914,-115.55499,,0.71,"2022-08-08 00:00:58-06"
28,,,,51.19141,-115.55498,,0.63,"2022-08-08 00:00:59-06"
28,,,,51.1914,-115.55496,,1.04,"2022-08-08 00:01:00-06"
