"Bus ID","Driver ID","Route ID","Stop ID",Latitude,Longitude,Heading,Speed,Time
32,,385,,51.20021,-115.53439,266,11.37,"2022-08-08 00:00:00-06"
32,,,,51.2002,-115.53456,267,11.26,"2022-08-08 00:00:01-06"
32,,,,51.2002,-115.53472,268,11.26,"2022-08-08 00:00:02-06"
32,,,,51.2002,-115.53505,271,11.46,"2022-08-08 00:00:04-06"
32,,,,51.2002,-115.53521,270,11.49,"2022-08-08 00:00:05-06"
32,,,,51.2002,-115.53538,269,11.5,"2022-08-08 00:00:06-06"
32,,,,51.2002,-115.53554,269,11.51,"2022-08-08 00:00:07-06"
32,,,,51.2002,-115.53587,270,11.32,"2022-08-08 00:00:09-06"
32,,,,51.2002,-115.53603,269,11.13,"2022-08-08 00:00:10-06"
32,,,,51.2002,-115.53619,270,10.69,"2022-08-08 00:00:11-06"
32,,,,51.2002,-115.53648,271,9.46,"2022-08-08 00:00:13-06"
32,,,,51.2002,-115.5366,271,8.36,"2022-08-08 00:00:14-06"
32,,,,51.2002,-115.53671,271,7.22,"2022-08-08 00:00:15-06"
32,,,,51.20021,-115.5368,272,6.24,"2022-08-08 00:00:16-06"
32,,,,51.20021,-115.53688,273,5.38,"2022-08-08 00:00:17-06"
32,,,,51.20021,-115.537,272,3.07,"2022-08-08 00:00:19-06"
32,,,,51.20021,-115.53704,272,2.31,"2022-08-08 00:00:20-06"
32,,,,51.20021,-115.53707,273,2.16,"2022-08-08 00:00:21-06"
32,,,,51.20021,-115.5371,271,1.78,"2022-08-08 00:00:22-06"
32,,,,51.20021,-115.53714,271,1.39,"2022-08-08 00:00:24-06"
32,,,,51.20021,-115.53717,269,2.11,"2022-08-08 00:00:25-06"
32,,,,51.20021,-115.53721,266,2.95,"2022-08-08 00:00:26-06"
32,,,,51.2002,-115.53726,256,3.67,"2022-08-08 00:00:27-06"
32,,,,51.20019,-115.53732,243,4.37,"2022-08-08 00:00:28-06"
32,,,,51.20012,-115.53741,213,5.59,"2022-08-08 00:00:30-06"
32,,,,51.20007,-115.53744,198,6.05,"2022-08-08 00:00:31-06"
32,,,,51.20001,-115.53746,191,6.42,"2022-08-08 00:00:32-06"
32,,,,51.19995,-115.53747,185,6.96,"2022-08-08 00:00:33-06"
32,,,,51.19981,-115.5375,187,8.42,"2022-08-08 00:00:35-06"
32,,,,51.19973,-115.53752,188,9.19,"2022-08-08 00:00:36-06"
32,,,,51.19965,-115.53753,188,9.81,"2022-08-08 00:00:37-06"
32,,,,51.19956,-115.53755,188,10.43,"2022-08-08 00:00:38-06"
32,,,,51.19946,-115.53758,189,11.06,"2022-08-08 00:00:39-06"
32,,,,51.19925,-115.53764,191,11.99,"2022-08-08 00:00:41-06"
32,,,,51.19914,-115.53767,191,12.49,"2022-08-08 00:00:42-06"
32,,,,51.19903,-115.53771,192,12.74,"2022-08-08 00:00:43-06"
32,,,,51.1988,-115.53779,194,13.32,"2022-08-08 00:00:45-06"
32,,,,51.19869,-115.53784,195,13.51,"2022-08-08 00:00:46-06"
32,,,,51.19857,-115.5379,197,13.74,"2022-08-08 00:00:47-06"
32,,,,51.19845,-115.53796,199,13.98,"2022-08-08 00:00:48-06"
32,,,,51.19821,-115.53809,199,14.26,"2022-08-08 00:00:50-06"
32,,,,51.19809,-115.53816,200,14.27,"2022-08-08 00:00:51-06"
32,,,,51.19796,-115.53823,200,14.17,"2022-08-08 00:00:52-06"
32,,,,51.19785,-115.5383,201,14.14,"2022-08-08 00:00:53-06"
32,,,,51.19773,-115.53837,202,14.23,"2022-08-08 00:00:54-06"
32,,,,51.19749,-115.53852,202,14.47,"2022-08-08 00:00:56-06"
32,,,,51.19737,-115.5386,203,14.5,"2022-08-08 00:00:57-06"
32,,,,51.19725,-115.53869,204,14.54,"2022-08-08 00:00:58-06"
32,,,,51.19713,-115.53877,205,14.37,"2022-08-08 00:00:59-06"
